Belady's anomaly in FIFO:		
		
bzip.trace:		
	page frame #	page faults #
	2	228838
	3	156574
	4	128601
	5	101120
	6	70658
	7	49815
	8	47828
	9	47232
	10	40385
	11	4907
	12	4581
	13	4361
	14	4105
	15	3927
	16	3820
	17	3695
	18	3629
	19	3534
	20	3480
	21	3398
	22	3346
	23	3292
	24	3236
	25	3188
	26	3133
	27	3066
	28	2668
	29	2627
	30	2602
	31	2568
	32	2497
	33	2334
	34	2259
	35	2162
	36	2085
	37	2048
	38	2015
	39	1987
	40	1883
	41	1855
	42	1829
	43	1813
	44	1772
	45	1743
	46	1728
	47	1719
	48	1700
	49	1689
	50	1667
	51	1657
	52	1655
	53	1635
	54	1613
	55	1577
	56	1558
	57	1550
	58	1546
	59	1533
	60	1527
	61	1515
	62	1499
	63	1488
	64	1467
	65	1432
	66	1425
	67	1419
	68	1384
	69	1382
	70	1379
	71	1341
	72	1321
	73	1296
	74	1287
	75	1276
	76	1265
	77	1189
	78	1183
	79	1176
	80	1169
	81	1166
	82	1157
	83	1154
	84	1153
	85	1146
	86	1143
	87	1139
	88	1130
	89	1122
	90	1104
	91	1096
	92	1100
	93	1074
	94	1056
	95	1050
	96	1048
	97	1036
	98	1032
	99	1029
	100	1026
		
		
gcc.trace		
	2	460912
	3	359566
	4	302860
	5	266768
	6	240717
	7	221598
	8	205368
	9	191307
	10	179898
	11	170419
	12	162233
	13	155268
	14	148963
	15	143546
	16	138539
	17	134003
	18	129925
	19	126409
	20	123186
	21	120312
	22	117734
	23	115237
	24	112957
	25	110793
	26	108605
	27	106622
	28	104843
	29	103160
	30	101502
	31	99810
	32	98067
	33	96490
	34	94994
	35	93505
	36	92208
	37	90876
	38	89623
	39	88524
	40	87503
	41	86498
	42	85449
	43	84470
	44	83529
	45	82597
	46	81745
	47	80851
	48	80030
	49	79278
	50	78462
	51	77752
	52	76993
	53	76279
	54	75615
	55	75044
	56	74474
	57	73908
	58	73415
	59	72878
	60	72296
	61	71787
	62	71304
	63	70796
	64	70315
	65	69793
	66	69369
	67	68884
	68	68403
	69	67852
	70	67351
	71	66775
	72	66166
	73	65603
	74	65138
	75	64560
	76	64006
	77	63406
	78	62824
	79	62255
	80	61822
	81	61258
	82	60774
	83	60338
	84	59932
	85	59539
	86	59120
	87	58686
	88	58285
	89	57905
	90	57591
	91	57224
	92	56915
	93	56539
	94	56180
	95	55848
	96	55485
	97	55147
	98	54835
	99	54536
	100	54194
		
		
		
swim.trace:		
		
		
	2	541458
	3	464657
	4	419509
	5	388218
	6	363967
	7	345751
	8	330893
	9	314044
	10	292890
	11	273648
	12	259522
	13	250297
	14	242630
	15	232192
	16	214295
	17	194172
	18	176086
	19	164706
	20	155342
	21	146752
	22	138050
	23	129872
	24	122033
	25	115014
	26	108862
	27	103396
	28	98468
	29	93783
	30	89398
	31	85373
	32	81638
	33	78031
	34	74769
	35	71546
	36	68746
	37	65963
	38	63576
	39	61164
	40	58865
	41	57008
	42	55035
	43	53264
	44	51596
	45	49956
	46	48363
	47	46908
	48	45498
	49	44236
	50	42895
	51	41576
	52	40519
	53	39490
	54	38675
	55	37728
	56	36844
	57	35913
	58	35055
	59	34244
	60	33463
	61	32617
	62	31827
	63	31140
	64	30422
	65	29901
	66	29406
	67	28927
	68	28407
	69	27969
	70	27438
	71	26961
	72	26557
	73	26155
	74	25775
	75	25335
	76	24987
	77	24624
	78	24266
	79	23970
	80	23680
	81	23394
	82	23152
	83	22885
	84	22662
	85	22406
	86	22199
	87	22013
	88	21802
	89	21626
	90	21450
	91	21271
	92	21103
	93	20932
	94	20786
	95	20650
	96	20503
	97	20345
	98	20185
	99	20037
	100	19903
